"","subject","mean_incongruent","mean_congruent","contrast"
"97",171,0.502279166666667,0.485544680851064,0.0167344858156028
"98",172,0.475633333333333,0.421963043478261,0.0536702898550724
"99",183,0.460084090909091,0.44018,0.0199040909090908
"100",200,0.693806896551724,0.61594375,0.077863146551724
"101",203,0.616527272727273,0.546064583333333,0.0704626893939392
"103",206,0.844644680851064,0.78924,0.055404680851064
"104",207,0.500725,0.499967391304348,0.000757608695652168
"105",208,0.45749347826087,0.473302222222222,-0.0158087439613526
"106",211,0.492080952380952,0.461884615384615,0.030196336996337
"107",212,0.548286363636364,0.473258333333333,0.0750280303030303
"108",213,0.780472093023256,0.884831914893617,-0.104359821870361
"109",14,0.626891304347826,0.567706382978723,0.0591849213691028
"110",20,0.992410416666666,0.799855319148936,0.19255509751773
"111",21,0.635185416666667,0.592733333333333,0.0424520833333334
